"year","month","day","country","region","city","attacktype","nkill","nwound"
1970,9,6,Israel,Middle East & North Africa,"Tel Aviv",Hijacking,1,0
1971,9,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,11
1972,5,30,Israel,Middle East & North Africa,"Lod Airport",Bombing/Explosion,26,72
1973,12,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,2,18
1974,2,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1974,2,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1974,2,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1974,4,11,Israel,Middle East & North Africa,"Qiryat Shemona",Hostage Taking (Barricade Incident),21,0
1974,5,18,Israel,Middle East & North Africa,"Maalot",Bombing/Explosion,25,70
1974,6,13,Israel,Middle East & North Africa,"Shamir",Armed Assault,7,0
1974,6,25,Israel,Middle East & North Africa,"Nahariya",Hostage Taking (Barricade Incident),14,0
1974,11,18,Israel,Middle East & North Africa,"Beit Shean",Unknown,7,5
1974,11,30,Israel,Middle East & North Africa,"Rihaniya",Armed Assault,1,1
1974,12,8,Israel,Middle East & North Africa,"Rosh Hanika Kibbutz",Armed Assault,1,2
1974,12,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,2,54
1974,12,20,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,13
1975,3,5,Israel,Middle East & North Africa,"Tel Aviv",Hostage Taking (Barricade Incident),18,0
1975,11,13,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,6,62
1976,1,9,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,8
1976,5,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,31
1977,4,0,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1977,7,29,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,23
1977,11,23,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,0
1977,12,5,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1977,12,26,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1977,12,30,Israel,Middle East & North Africa,"Nitanya",Bombing/Explosion,2,1
1978,2,14,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,2,43
1978,2,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,3,11,Israel,Middle East & North Africa,"Haifa",Hostage Taking (Barricade Incident),42,76
1978,6,2,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,6,20
1978,7,10,Israel,Middle East & North Africa,"Ouiryat Gat",Bombing/Explosion,0,0
1978,8,3,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,1,49
1978,8,15,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,8,22,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,8,28,Israel,Middle East & North Africa,"Ramle",Bombing/Explosion,0,0
1978,8,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,9,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,9,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1978,9,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,9,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,7
1978,9,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,7
1978,9,21,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,11,19,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1978,11,19,Israel,Middle East & North Africa,"Jaffa",Bombing/Explosion,0,2
1978,11,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,0
1978,12,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,21
1978,12,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,22
1978,12,20,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,4
1978,12,31,Israel,Middle East & North Africa,"Netanya",Bombing/Explosion,0,6
1979,1,2,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1979,1,5,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,1,0
1979,1,8,Israel,Middle East & North Africa,"Holon(near Tel Aviv)",Bombing/Explosion,0,2
1979,1,13,Israel,Middle East & North Africa,"Maalot",Hostage Taking (Barricade Incident),4,1
1979,1,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,1,16,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1979,1,18,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,21
1979,1,20,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,1,28,Israel,Middle East & North Africa,"Moya",Bombing/Explosion,5,55
1979,2,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,2
1979,2,13,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1979,2,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,2,27,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,5
1979,3,4,Israel,Middle East & North Africa,"Jerusalem-Tel Aviv line",Bombing/Explosion,0,0
1979,3,7,Israel,Middle East & North Africa,"Affolah(7 mi. South of Nazareth)",Bombing/Explosion,0,0
